ID,FUNCIONARIO,CODIGO BENEFICIO,FUNCAO_ID,INSS,TOTAL_HORAS_ATRASO,MES,YEAR
1932,32,4,4,8,14.0,3,2013
1933,33,5,13,8,26.0,3,2013
1934,34,2,11,6,16.0,3,2013
1935,35,2,13,7,19.0,3,2013
1936,36,4,15,5,29.0,3,2013
1937,37,3,4,8,19.0,3,2013
1938,38,9,16,9,4.0,3,2013
1939,39,5,8,10,28.0,3,2013
1940,40,7,12,10,17.0,3,2013
1941,41,3,8,5,22.0,3,2013
1942,42,6,1,9,15.0,3,2013
1943,43,1,8,9,16.0,3,2013
1944,44,1,5,10,19.0,3,2013
1945,45,3,13,9,11.0,3,2013
1946,46,9,7,3,23.0,3,2013
1947,47,3,2,10,5.0,3,2013
1948,48,9,13,10,30.0,3,2013
1949,49,9,5,6,26.0,3,2013
1950,50,4,11,3,7.0,3,2013
1951,1,2,11,5,24.0,4,2013
1952,2,8,7,3,11.0,4,2013
1953,3,9,11,5,20.0,4,2013
1954,4,8,10,3,30.0,4,2013
1955,5,9,10,6,26.0,4,2013
1956,6,4,13,4,7.0,4,2013
1957,7,6,9,3,9.0,4,2013
1958,8,5,10,6,27.0,4,2013
1959,9,4,7,8,9.0,4,2013
1960,10,1,3,3,18.0,4,2013
1961,11,5,3,10,8.0,4,2013
1962,12,6,12,5,9.0,4,2013
1963,13,2,9,4,2.0,4,2013
1964,14,6,16,5,5.0,4,2013
1965,15,7,11,10,20.0,4,2013
1966,16,9,15,9,26.0,4,2013
1967,17,2,8,5,3.0,4,2013
1968,18,8,2,3,15.0,4,2013
1969,19,4,10,3,29.0,4,2013
1970,20,9,2,5,10.0,4,2013
1971,21,4,13,5,31.0,4,2013
1972,22,9,9,7,24.0,4,2013
1973,23,3,7,7,7.0,4,2013
1974,24,2,12,10,19.0,4,2013
1975,25,1,8,8,21.0,4,2013
1976,26,6,3,9,7.0,4,2013
1977,27,6,1,10,17.0,4,2013
1978,28,7,10,10,14.0,4,2013
1979,29,7,14,5,5.0,4,2013
1980,30,9,3,9,26.0,4,2013
1981,31,8,9,7,22.0,4,2013
1982,32,4,4,3,23.0,4,2013
1983,33,5,13,4,23.0,4,2013
1984,34,2,11,6,6.0,4,2013
1985,35,2,13,4,14.0,4,2013
1986,36,4,15,10,8.0,4,2013
1987,37,3,4,6,20.0,4,2013
1988,38,9,16,6,12.0,4,2013
1989,39,5,8,9,30.0,4,2013
1990,40,7,12,6,20.0,4,2013
1991,41,3,8,5,9.0,4,2013
1992,42,6,1,6,26.0,4,2013
1993,43,1,8,6,19.0,4,2013
1994,44,1,5,6,4.0,4,2013
1995,45,3,13,5,27.0,4,2013
1996,46,9,7,9,9.0,4,2013
1997,47,3,2,9,31.0,4,2013
1998,48,9,13,10,26.0,4,2013
1999,49,9,5,7,19.0,4,2013
2000,50,4,11,7,14.0,4,2013
2001,1,2,11,4,13.0,5,2013
2002,2,8,7,4,19.0,5,2013
2003,3,9,11,3,10.0,5,2013
2004,4,8,10,6,22.0,5,2013
2005,5,9,10,5,3.0,5,2013
2006,6,4,13,3,24.0,5,2013
2007,7,6,9,7,25.0,5,2013
2008,8,5,10,3,23.0,5,2013
2009,9,4,7,8,14.0,5,2013
2010,10,1,3,9,17.0,5,2013
2011,11,5,3,8,12.0,5,2013
2012,12,6,12,5,25.0,5,2013
2013,13,2,9,7,21.0,5,2013
2014,14,6,16,7,13.0,5,2013
2015,15,7,11,3,4.0,5,2013
2016,16,9,15,10,31.0,5,2013
2017,17,2,8,4,12.0,5,2013
2018,18,8,2,5,22.0,5,2013
2019,19,4,10,6,16.0,5,2013
2020,20,9,2,8,15.0,5,2013
2021,21,4,13,6,29.0,5,2013
2022,22,9,9,3,4.0,5,2013
2023,23,3,7,6,27.0,5,2013
2024,24,2,12,3,9.0,5,2013
2025,25,1,8,4,3.0,5,2013
2026,26,6,3,9,14.0,5,2013
2027,27,6,1,9,27.0,5,2013
2028,28,7,10,5,12.0,5,2013
2029,29,7,14,8,10.0,5,2013
2030,30,9,3,8,6.0,5,2013
2031,31,8,9,4,15.0,5,2013
2032,32,4,4,4,18.0,5,2013
2033,33,5,13,8,11.0,5,2013
2034,34,2,11,3,20.0,5,2013
2035,35,2,13,3,21.0,5,2013
2036,36,4,15,9,31.0,5,2013
2037,37,3,4,8,14.0,5,2013
2038,38,9,16,9,10.0,5,2013
2039,39,5,8,7,30.0,5,2013
2040,40,7,12,5,23.0,5,2013
2041,41,3,8,5,20.0,5,2013
2042,42,6,1,10,6.0,5,2013
2043,43,1,8,7,25.0,5,2013
2044,44,1,5,6,17.0,5,2013
2045,45,3,13,4,21.0,5,2013
2046,46,9,7,7,19.0,5,2013
2047,47,3,2,9,27.0,5,2013
2048,48,9,13,5,25.0,5,2013
2049,49,9,5,9,31.0,5,2013
2050,50,4,11,8,27.0,5,2013
2051,1,2,11,5,4.0,6,2013
2052,2,8,7,8,31.0,6,2013
2053,3,9,11,9,21.0,6,2013
2054,4,8,10,5,30.0,6,2013
2055,5,9,10,10,2.0,6,2013
2056,6,4,13,4,14.0,6,2013
2057,7,6,9,7,28.0,6,2013
2058,8,5,10,4,28.0,6,2013
2059,9,4,7,7,29.0,6,2013
2060,10,1,3,3,17.0,6,2013
2061,11,5,3,3,21.0,6,2013
2062,12,6,12,8,13.0,6,2013
2063,13,2,9,5,12.0,6,2013
2064,14,6,16,7,18.0,6,2013
2065,15,7,11,7,3.0,6,2013
2066,16,9,15,9,16.0,6,2013
2067,17,2,8,4,20.0,6,2013
2068,18,8,2,9,29.0,6,2013
2069,19,4,10,4,31.0,6,2013
2070,20,9,2,5,24.0,6,2013
2071,21,4,13,10,8.0,6,2013
2072,22,9,9,4,7.0,6,2013
2073,23,3,7,3,21.0,6,2013
2074,24,2,12,3,8.0,6,2013
2075,25,1,8,7,21.0,6,2013
2076,26,6,3,6,9.0,6,2013
2077,27,6,1,5,6.0,6,2013
2078,28,7,10,7,22.0,6,2013
2079,29,7,14,3,20.0,6,2013
2080,30,9,3,9,15.0,6,2013
2081,31,8,9,7,19.0,6,2013
2082,32,4,4,8,8.0,6,2013
2083,33,5,13,6,26.0,6,2013
2084,34,2,11,5,6.0,6,2013
2085,35,2,13,5,25.0,6,2013
2086,36,4,15,3,22.0,6,2013
2087,37,3,4,6,4.0,6,2013
2088,38,9,16,9,13.0,6,2013
2089,39,5,8,3,7.0,6,2013
2090,40,7,12,6,27.0,6,2013
2091,41,3,8,6,6.0,6,2013
2092,42,6,1,8,13.0,6,2013
2093,43,1,8,9,31.0,6,2013
2094,44,1,5,8,18.0,6,2013
2095,45,3,13,9,20.0,6,2013
2096,46,9,7,6,15.0,6,2013
2097,47,3,2,6,25.0,6,2013
2098,48,9,13,7,28.0,6,2013
2099,49,9,5,4,5.0,6,2013
2100,50,4,11,7,14.0,6,2013
2101,1,2,11,8,6.0,7,2013
2102,2,8,7,5,17.0,7,2013
2103,3,9,11,4,13.0,7,2013
2104,4,8,10,9,15.0,7,2013
2105,5,9,10,9,12.0,7,2013
2106,6,4,13,10,22.0,7,2013
2107,7,6,9,3,17.0,7,2013
2108,8,5,10,10,26.0,7,2013
2109,9,4,7,8,21.0,7,2013
2110,10,1,3,4,27.0,7,2013
2111,11,5,3,8,5.0,7,2013
2112,12,6,12,5,18.0,7,2013
2113,13,2,9,3,15.0,7,2013
2114,14,6,16,9,5.0,7,2013
2115,15,7,11,6,25.0,7,2013
2116,16,9,15,5,27.0,7,2013
2117,17,2,8,7,18.0,7,2013
2118,18,8,2,10,12.0,7,2013
2119,19,4,10,10,6.0,7,2013
2120,20,9,2,9,17.0,7,2013
2121,21,4,13,4,11.0,7,2013
2122,22,9,9,5,23.0,7,2013
2123,23,3,7,3,11.0,7,2013
2124,24,2,12,4,13.0,7,2013
2125,25,1,8,10,2.0,7,2013
2126,26,6,3,8,13.0,7,2013
2127,27,6,1,10,20.0,7,2013
2128,28,7,10,8,15.0,7,2013
2129,29,7,14,4,10.0,7,2013
2130,30,9,3,9,5.0,7,2013
2131,31,8,9,8,26.0,7,2013
2132,32,4,4,3,14.0,7,2013
2133,33,5,13,7,12.0,7,2013
2134,34,2,11,4,27.0,7,2013
2135,35,2,13,4,14.0,7,2013
2136,36,4,15,3,13.0,7,2013
2137,37,3,4,9,30.0,7,2013
2138,38,9,16,8,5.0,7,2013
2139,39,5,8,9,13.0,7,2013
2140,40,7,12,9,15.0,7,2013
2141,41,3,8,6,27.0,7,2013
2142,42,6,1,6,22.0,7,2013
2143,43,1,8,10,12.0,7,2013
2144,44,1,5,3,5.0,7,2013
2145,45,3,13,4,13.0,7,2013
2146,46,9,7,4,2.0,7,2013
2147,47,3,2,5,13.0,7,2013
2148,48,9,13,7,14.0,7,2013
2149,49,9,5,3,14.0,7,2013
2150,50,4,11,7,19.0,7,2013
2151,1,2,11,6,8.0,8,2013
2152,2,8,7,9,15.0,8,2013
2153,3,9,11,3,9.0,8,2013
2154,4,8,10,6,18.0,8,2013
2155,5,9,10,5,6.0,8,2013
2156,6,4,13,6,20.0,8,2013
2157,7,6,9,8,28.0,8,2013
2158,8,5,10,5,19.0,8,2013
2159,9,4,7,7,20.0,8,2013
2160,10,1,3,8,2.0,8,2013
2161,11,5,3,10,6.0,8,2013
2162,12,6,12,5,22.0,8,2013
2163,13,2,9,4,9.0,8,2013
2164,14,6,16,10,2.0,8,2013
2165,15,7,11,10,8.0,8,2013
2166,16,9,15,4,20.0,8,2013
2167,17,2,8,4,12.0,8,2013
2168,18,8,2,6,9.0,8,2013
2169,19,4,10,7,18.0,8,2013
2170,20,9,2,6,19.0,8,2013
2171,21,4,13,7,11.0,8,2013
2172,22,9,9,6,6.0,8,2013
2173,23,3,7,9,16.0,8,2013
2174,24,2,12,10,24.0,8,2013
2175,25,1,8,10,10.0,8,2013
2176,26,6,3,10,26.0,8,2013
2177,27,6,1,5,28.0,8,2013
2178,28,7,10,5,21.0,8,2013
2179,29,7,14,5,30.0,8,2013
2180,30,9,3,4,17.0,8,2013
2181,31,8,9,5,9.0,8,2013
2182,32,4,4,10,6.0,8,2013
2183,33,5,13,9,20.0,8,2013
2184,34,2,11,6,5.0,8,2013
2185,35,2,13,7,14.0,8,2013
2186,36,4,15,9,25.0,8,2013
2187,37,3,4,6,30.0,8,2013
2188,38,9,16,5,24.0,8,2013
2189,39,5,8,6,12.0,8,2013
2190,40,7,12,3,18.0,8,2013
2191,41,3,8,3,30.0,8,2013
2192,42,6,1,10,26.0,8,2013
2193,43,1,8,6,7.0,8,2013
2194,44,1,5,3,6.0,8,2013
2195,45,3,13,10,7.0,8,2013
2196,46,9,7,6,11.0,8,2013
2197,47,3,2,7,27.0,8,2013
2198,48,9,13,9,21.0,8,2013
2199,49,9,5,3,27.0,8,2013
2200,50,4,11,10,29.0,8,2013
2201,1,2,11,10,17.0,9,2013
2202,2,8,7,6,24.0,9,2013
2203,3,9,11,9,25.0,9,2013
2204,4,8,10,7,13.0,9,2013
2205,5,9,10,9,25.0,9,2013
2206,6,4,13,6,18.0,9,2013
2207,7,6,9,4,9.0,9,2013
2208,8,5,10,8,26.0,9,2013
2209,9,4,7,3,16.0,9,2013
2210,10,1,3,7,16.0,9,2013
2211,11,5,3,8,13.0,9,2013
2212,12,6,12,9,26.0,9,2013
2213,13,2,9,9,14.0,9,2013
2214,14,6,16,4,15.0,9,2013
2215,15,7,11,7,13.0,9,2013
2216,16,9,15,3,29.0,9,2013
2217,17,2,8,9,29.0,9,2013
2218,18,8,2,8,20.0,9,2013
2219,19,4,10,3,23.0,9,2013
2220,20,9,2,5,25.0,9,2013
2221,21,4,13,6,13.0,9,2013
2222,22,9,9,9,7.0,9,2013
2223,23,3,7,9,31.0,9,2013
2224,24,2,12,6,15.0,9,2013
2225,25,1,8,6,23.0,9,2013
2226,26,6,3,5,23.0,9,2013
2227,27,6,1,3,16.0,9,2013
2228,28,7,10,10,26.0,9,2013
2229,29,7,14,8,31.0,9,2013
2230,30,9,3,6,28.0,9,2013
2231,31,8,9,9,7.0,9,2013
2232,32,4,4,8,23.0,9,2013
2233,33,5,13,6,19.0,9,2013
2234,34,2,11,8,31.0,9,2013
2235,35,2,13,3,30.0,9,2013
2236,36,4,15,8,7.0,9,2013
2237,37,3,4,4,31.0,9,2013
2238,38,9,16,7,6.0,9,2013
2239,39,5,8,4,11.0,9,2013
2240,40,7,12,6,12.0,9,2013
2241,41,3,8,4,15.0,9,2013
2242,42,6,1,10,24.0,9,2013
2243,43,1,8,7,13.0,9,2013
2244,44,1,5,3,11.0,9,2013
2245,45,3,13,5,23.0,9,2013
2246,46,9,7,4,21.0,9,2013
2247,47,3,2,7,17.0,9,2013
2248,48,9,13,10,15.0,9,2013
2249,49,9,5,3,31.0,9,2013
2250,50,4,11,9,13.0,9,2013
2251,1,2,11,4,7.0,10,2013
2252,2,8,7,7,16.0,10,2013
2253,3,9,11,6,30.0,10,2013
2254,4,8,10,8,18.0,10,2013
2255,5,9,10,10,11.0,10,2013
2256,6,4,13,9,2.0,10,2013
2257,7,6,9,5,13.0,10,2013
2258,8,5,10,4,4.0,10,2013
2259,9,4,7,3,14.0,10,2013
2260,10,1,3,8,29.0,10,2013
2261,11,5,3,7,19.0,10,2013
2262,12,6,12,8,25.0,10,2013
2263,13,2,9,4,12.0,10,2013
2264,14,6,16,4,27.0,10,2013
2265,15,7,11,5,2.0,10,2013
2266,16,9,15,10,6.0,10,2013
2267,17,2,8,10,20.0,10,2013
2268,18,8,2,3,5.0,10,2013
2269,19,4,10,9,7.0,10,2013
2270,20,9,2,6,12.0,10,2013
2271,21,4,13,8,10.0,10,2013
2272,22,9,9,9,16.0,10,2013
2273,23,3,7,8,12.0,10,2013
2274,24,2,12,7,25.0,10,2013
2275,25,1,8,3,23.0,10,2013
2276,26,6,3,4,24.0,10,2013
2277,27,6,1,4,28.0,10,2013
2278,28,7,10,9,29.0,10,2013
2279,29,7,14,7,9.0,10,2013
2280,30,9,3,6,24.0,10,2013
2281,31,8,9,5,23.0,10,2013
2282,32,4,4,7,22.0,10,2013
2283,33,5,13,10,20.0,10,2013
2284,34,2,11,7,7.0,10,2013
2285,35,2,13,6,7.0,10,2013
2286,36,4,15,8,26.0,10,2013
2287,37,3,4,9,26.0,10,2013
2288,38,9,16,10,13.0,10,2013
2289,39,5,8,10,24.0,10,2013
2290,40,7,12,4,9.0,10,2013
2291,41,3,8,3,29.0,10,2013
2292,42,6,1,6,3.0,10,2013
2293,43,1,8,5,30.0,10,2013
2294,44,1,5,6,12.0,10,2013
2295,45,3,13,5,26.0,10,2013
2296,46,9,7,5,11.0,10,2013
2297,47,3,2,5,8.0,10,2013
2298,48,9,13,8,2.0,10,2013
2299,49,9,5,10,16.0,10,2013
2300,50,4,11,8,13.0,10,2013
2301,1,2,11,9,23.0,11,2013
2302,2,8,7,4,8.0,11,2013
2303,3,9,11,9,30.0,11,2013
2304,4,8,10,10,18.0,11,2013
2305,5,9,10,10,12.0,11,2013
2306,6,4,13,9,25.0,11,2013
2307,7,6,9,3,30.0,11,2013
2308,8,5,10,10,28.0,11,2013
2309,9,4,7,7,31.0,11,2013
2310,10,1,3,6,15.0,11,2013
2311,11,5,3,8,20.0,11,2013
2312,12,6,12,10,6.0,11,2013
2313,13,2,9,6,11.0,11,2013
2314,14,6,16,10,18.0,11,2013
2315,15,7,11,9,24.0,11,2013
2316,16,9,15,4,9.0,11,2013
2317,17,2,8,8,27.0,11,2013
2318,18,8,2,6,31.0,11,2013
2319,19,4,10,8,28.0,11,2013
2320,20,9,2,7,8.0,11,2013
2321,21,4,13,9,2.0,11,2013
2322,22,9,9,4,8.0,11,2013
2323,23,3,7,4,23.0,11,2013
2324,24,2,12,9,7.0,11,2013
2325,25,1,8,4,11.0,11,2013
2326,26,6,3,5,8.0,11,2013
2327,27,6,1,5,8.0,11,2013
2328,28,7,10,9,10.0,11,2013
2329,29,7,14,4,12.0,11,2013
2330,30,9,3,4,27.0,11,2013
2331,31,8,9,4,22.0,11,2013
2332,32,4,4,9,16.0,11,2013
2333,33,5,13,7,12.0,11,2013
2334,34,2,11,5,3.0,11,2013
2335,35,2,13,3,7.0,11,2013
2336,36,4,15,4,15.0,11,2013
2337,37,3,4,3,7.0,11,2013
2338,38,9,16,9,9.0,11,2013
2339,39,5,8,9,29.0,11,2013
2340,40,7,12,9,18.0,11,2013
2341,41,3,8,7,3.0,11,2013
2342,42,6,1,9,31.0,11,2013
2343,43,1,8,9,7.0,11,2013
2344,44,1,5,9,26.0,11,2013
2345,45,3,13,6,24.0,11,2013
2346,46,9,7,5,26.0,11,2013
2347,47,3,2,7,14.0,11,2013
2348,48,9,13,5,30.0,11,2013
2349,49,9,5,8,3.0,11,2013
2350,50,4,11,7,8.0,11,2013
2351,1,2,11,6,14.0,12,2013
2352,2,8,7,6,21.0,12,2013
2353,3,9,11,8,26.0,12,2013
2354,4,8,10,9,19.0,12,2013
2355,5,9,10,8,22.0,12,2013
2356,6,4,13,10,21.0,12,2013
2357,7,6,9,6,29.0,12,2013
2358,8,5,10,5,18.0,12,2013
2359,9,4,7,5,24.0,12,2013
2360,10,1,3,10,2.0,12,2013
2361,11,5,3,7,7.0,12,2013
2362,12,6,12,4,20.0,12,2013
2363,13,2,9,9,26.0,12,2013
2364,14,6,16,10,12.0,12,2013
2365,15,7,11,5,10.0,12,2013
2366,16,9,15,6,10.0,12,2013
2367,17,2,8,9,4.0,12,2013
2368,18,8,2,9,31.0,12,2013
2369,19,4,10,6,24.0,12,2013
2370,20,9,2,5,31.0,12,2013
2371,21,4,13,5,23.0,12,2013
2372,22,9,9,9,19.0,12,2013
2373,23,3,7,7,29.0,12,2013
2374,24,2,12,10,21.0,12,2013
2375,25,1,8,10,30.0,12,2013
2376,26,6,3,8,26.0,12,2013
2377,27,6,1,9,8.0,12,2013
2378,28,7,10,9,24.0,12,2013
2379,29,7,14,7,13.0,12,2013
2380,30,9,3,6,18.0,12,2013
2381,31,8,9,3,31.0,12,2013
2382,32,4,4,7,22.0,12,2013
2383,33,5,13,6,19.0,12,2013
2384,34,2,11,4,25.0,12,2013
2385,35,2,13,6,25.0,12,2013
2386,36,4,15,8,9.0,12,2013
2387,37,3,4,4,8.0,12,2013
2388,38,9,16,6,6.0,12,2013
2389,39,5,8,4,17.0,12,2013
2390,40,7,12,3,6.0,12,2013
2391,41,3,8,10,30.0,12,2013
2392,42,6,1,10,26.0,12,2013
2393,43,1,8,7,15.0,12,2013
2394,44,1,5,8,16.0,12,2013
2395,45,3,13,10,4.0,12,2013
2396,46,9,7,4,27.0,12,2013
2397,47,3,2,4,29.0,12,2013
2398,48,9,13,3,22.0,12,2013
2399,49,9,5,7,26.0,12,2013
2400,50,4,11,7,9.0,12,2013
2401,1,2,11,6,19.0,1,2014
2402,2,8,7,6,16.0,1,2014
2403,3,9,11,3,10.0,1,2014
2404,4,8,10,8,3.0,1,2014
2405,5,9,10,8,15.0,1,2014
2406,6,4,13,3,20.0,1,2014
2407,7,6,9,7,19.0,1,2014
2408,8,5,10,3,6.0,1,2014
2409,9,4,7,10,22.0,1,2014
2410,10,1,3,4,4.0,1,2014
2411,11,5,3,3,16.0,1,2014
2412,12,6,12,7,5.0,1,2014
2413,13,2,9,10,25.0,1,2014
2414,14,6,16,10,29.0,1,2014
2415,15,7,11,5,13.0,1,2014
2416,16,9,15,7,23.0,1,2014
2417,17,2,8,6,31.0,1,2014
2418,18,8,2,8,18.0,1,2014
2419,19,4,10,9,5.0,1,2014
2420,20,9,2,3,27.0,1,2014
2421,21,4,13,5,5.0,1,2014
2422,22,9,9,10,21.0,1,2014
2423,23,3,7,7,31.0,1,2014
2424,24,2,12,5,17.0,1,2014
2425,25,1,8,10,4.0,1,2014
2426,26,6,3,7,9.0,1,2014
2427,27,6,1,7,28.0,1,2014
2428,28,7,10,8,14.0,1,2014
2429,29,7,14,3,11.0,1,2014
2430,30,9,3,7,23.0,1,2014
2431,31,8,9,6,2.0,1,2014
2432,32,4,4,5,12.0,1,2014
2433,33,5,13,7,7.0,1,2014
2434,34,2,11,3,23.0,1,2014
2435,35,2,13,5,18.0,1,2014
2436,36,4,15,3,21.0,1,2014
2437,37,3,4,6,11.0,1,2014
2438,38,9,16,7,4.0,1,2014
2439,39,5,8,9,7.0,1,2014
2440,40,7,12,9,20.0,1,2014
2441,41,3,8,3,24.0,1,2014
2442,42,6,1,6,19.0,1,2014
2443,43,1,8,10,27.0,1,2014
2444,44,1,5,3,5.0,1,2014
2445,45,3,13,10,14.0,1,2014
2446,46,9,7,7,20.0,1,2014
2447,47,3,2,3,23.0,1,2014
2448,48,9,13,10,4.0,1,2014
2449,49,9,5,4,23.0,1,2014
2450,50,4,11,6,3.0,1,2014
2451,1,2,11,9,24.0,2,2014
2452,2,8,7,9,12.0,2,2014
2453,3,9,11,9,11.0,2,2014
2454,4,8,10,10,10.0,2,2014
2455,5,9,10,3,23.0,2,2014
2456,6,4,13,3,5.0,2,2014
2457,7,6,9,3,14.0,2,2014
2458,8,5,10,7,12.0,2,2014
2459,9,4,7,9,28.0,2,2014
2460,10,1,3,8,21.0,2,2014
2461,11,5,3,3,26.0,2,2014
2462,12,6,12,7,13.0,2,2014
2463,13,2,9,8,14.0,2,2014
2464,14,6,16,4,4.0,2,2014
2465,15,7,11,6,26.0,2,2014
2466,16,9,15,7,29.0,2,2014
2467,17,2,8,9,14.0,2,2014
2468,18,8,2,9,18.0,2,2014
2469,19,4,10,10,17.0,2,2014
2470,20,9,2,3,12.0,2,2014
2471,21,4,13,8,15.0,2,2014
2472,22,9,9,10,6.0,2,2014
2473,23,3,7,3,21.0,2,2014
2474,24,2,12,7,21.0,2,2014
2475,25,1,8,6,4.0,2,2014
2476,26,6,3,10,30.0,2,2014
2477,27,6,1,8,17.0,2,2014
2478,28,7,10,7,26.0,2,2014
2479,29,7,14,3,6.0,2,2014
2480,30,9,3,10,30.0,2,2014
2481,31,8,9,5,29.0,2,2014
2482,32,4,4,3,21.0,2,2014
2483,33,5,13,7,25.0,2,2014
2484,34,2,11,3,4.0,2,2014
2485,35,2,13,9,2.0,2,2014
2486,36,4,15,4,27.0,2,2014
2487,37,3,4,9,12.0,2,2014
2488,38,9,16,4,7.0,2,2014
2489,39,5,8,7,18.0,2,2014
2490,40,7,12,9,9.0,2,2014
2491,41,3,8,10,20.0,2,2014
2492,42,6,1,9,19.0,2,2014
2493,43,1,8,5,12.0,2,2014
2494,44,1,5,9,23.0,2,2014
2495,45,3,13,9,8.0,2,2014
2496,46,9,7,5,14.0,2,2014
2497,47,3,2,6,16.0,2,2014
2498,48,9,13,10,19.0,2,2014
2499,49,9,5,10,15.0,2,2014
2500,50,4,11,7,22.0,2,2014
2501,1,2,11,6,9.0,3,2014
2502,2,8,7,10,22.0,3,2014
2503,3,9,11,4,10.0,3,2014
2504,4,8,10,4,27.0,3,2014
2505,5,9,10,7,18.0,3,2014
2506,6,4,13,7,21.0,3,2014
2507,7,6,9,3,21.0,3,2014
2508,8,5,10,10,14.0,3,2014
2509,9,4,7,3,23.0,3,2014
2510,10,1,3,5,18.0,3,2014
2511,11,5,3,9,4.0,3,2014
2512,12,6,12,9,15.0,3,2014
2513,13,2,9,6,13.0,3,2014
2514,14,6,16,5,17.0,3,2014
2515,15,7,11,3,27.0,3,2014
2516,16,9,15,10,23.0,3,2014
2517,17,2,8,6,27.0,3,2014
2518,18,8,2,4,15.0,3,2014
2519,19,4,10,8,17.0,3,2014
2520,20,9,2,9,28.0,3,2014
2521,21,4,13,5,15.0,3,2014
2522,22,9,9,3,8.0,3,2014
2523,23,3,7,6,28.0,3,2014
2524,24,2,12,7,24.0,3,2014
2525,25,1,8,6,10.0,3,2014
2526,26,6,3,3,10.0,3,2014
2527,27,6,1,8,31.0,3,2014
2528,28,7,10,9,31.0,3,2014
2529,29,7,14,3,28.0,3,2014
2530,30,9,3,5,8.0,3,2014
2531,31,8,9,5,15.0,3,2014
2532,32,4,4,3,5.0,3,2014
2533,33,5,13,5,11.0,3,2014
2534,34,2,11,8,9.0,3,2014
2535,35,2,13,9,19.0,3,2014
2536,36,4,15,7,2.0,3,2014
2537,37,3,4,9,22.0,3,2014
2538,38,9,16,10,2.0,3,2014
2539,39,5,8,10,19.0,3,2014
2540,40,7,12,4,18.0,3,2014
2541,41,3,8,7,18.0,3,2014
2542,42,6,1,4,12.0,3,2014
2543,43,1,8,3,26.0,3,2014
2544,44,1,5,7,18.0,3,2014
2545,45,3,13,3,10.0,3,2014
2546,46,9,7,8,31.0,3,2014
2547,47,3,2,9,7.0,3,2014
2548,48,9,13,7,12.0,3,2014
2549,49,9,5,3,5.0,3,2014
2550,50,4,11,8,12.0,3,2014
2551,1,2,11,4,9.0,4,2014
2552,2,8,7,6,15.0,4,2014
2553,3,9,11,6,7.0,4,2014
2554,4,8,10,10,5.0,4,2014
2555,5,9,10,10,30.0,4,2014
2556,6,4,13,8,20.0,4,2014
2557,7,6,9,3,28.0,4,2014
2558,8,5,10,5,17.0,4,2014
2559,9,4,7,7,31.0,4,2014
2560,10,1,3,8,30.0,4,2014
2561,11,5,3,9,3.0,4,2014
2562,12,6,12,10,31.0,4,2014
2563,13,2,9,8,6.0,4,2014
2564,14,6,16,6,25.0,4,2014
2565,15,7,11,6,3.0,4,2014
2566,16,9,15,3,30.0,4,2014
2567,17,2,8,6,27.0,4,2014
2568,18,8,2,9,29.0,4,2014
2569,19,4,10,10,12.0,4,2014
2570,20,9,2,8,22.0,4,2014
2571,21,4,13,3,21.0,4,2014
2572,22,9,9,7,30.0,4,2014
2573,23,3,7,8,16.0,4,2014
2574,24,2,12,5,3.0,4,2014
2575,25,1,8,8,6.0,4,2014
2576,26,6,3,4,4.0,4,2014
2577,27,6,1,8,11.0,4,2014
2578,28,7,10,9,3.0,4,2014
2579,29,7,14,3,11.0,4,2014
2580,30,9,3,3,18.0,4,2014
2581,31,8,9,7,21.0,4,2014
2582,32,4,4,10,25.0,4,2014
2583,33,5,13,4,21.0,4,2014
2584,34,2,11,4,28.0,4,2014
2585,35,2,13,7,19.0,4,2014
2586,36,4,15,10,26.0,4,2014
2587,37,3,4,8,22.0,4,2014
2588,38,9,16,8,14.0,4,2014
2589,39,5,8,8,25.0,4,2014
2590,40,7,12,10,22.0,4,2014
2591,41,3,8,3,28.0,4,2014
2592,42,6,1,9,21.0,4,2014
2593,43,1,8,6,28.0,4,2014
2594,44,1,5,5,4.0,4,2014
2595,45,3,13,9,2.0,4,2014
2596,46,9,7,9,18.0,4,2014
2597,47,3,2,6,26.0,4,2014
2598,48,9,13,9,7.0,4,2014
2599,49,9,5,9,18.0,4,2014
2600,50,4,11,9,22.0,4,2014
2601,1,2,11,4,7.0,5,2014
2602,2,8,7,4,22.0,5,2014
2603,3,9,11,7,12.0,5,2014
2604,4,8,10,5,14.0,5,2014
2605,5,9,10,3,26.0,5,2014
2606,6,4,13,9,21.0,5,2014
2607,7,6,9,8,3.0,5,2014
2608,8,5,10,10,29.0,5,2014
2609,9,4,7,7,16.0,5,2014
2610,10,1,3,3,14.0,5,2014
2611,11,5,3,8,8.0,5,2014
2612,12,6,12,9,7.0,5,2014
2613,13,2,9,5,17.0,5,2014
2614,14,6,16,6,11.0,5,2014
2615,15,7,11,4,12.0,5,2014
2616,16,9,15,3,13.0,5,2014
2617,17,2,8,3,3.0,5,2014
2618,18,8,2,4,10.0,5,2014
2619,19,4,10,8,29.0,5,2014
2620,20,9,2,10,19.0,5,2014
2621,21,4,13,6,18.0,5,2014
2622,22,9,9,4,28.0,5,2014
2623,23,3,7,5,12.0,5,2014
2624,24,2,12,6,24.0,5,2014
2625,25,1,8,9,14.0,5,2014
2626,26,6,3,7,28.0,5,2014
2627,27,6,1,4,9.0,5,2014
